trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.7, 'e': 0.348093114492442}",30,0,-34.544563988253245,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.3446121833475176}",20,8,-2.7878233404405153,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.34116606151404244}",25,6,-0.4014658072258954,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.337754400898902}",25,4,-16.764691501039536,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.334376856889913}",25,17,4.328013838976659,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.33103308832101386}",20,4,12.291668331177998,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.3277227574378037}",20,8,-48.64336635943385,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
112,False,"{'a': 0.7, 'e': 0.3244455298634257}",20,8,-31.137215090288592,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.3212010745647914}",25,7,2.7733575063885194,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.3179890638191435}",30,12,19.30191625432948,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.31480917318095203}",20,0,-38.187991773835165,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.7, 'e': 0.3116610814491425}",20,10,6.9216877455161,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.30854447063465107}",25,13,-3.3988681276446124,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.3054590259283046}",30,15,-39.86132925959277,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.7, 'e': 0.30240443566902153}",25,3,27.735102069221405,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.2993803913123313}",30,5,11.380157598898387,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.296386587399208}",30,0,6.406997272599279,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.2934227215252159}",25,12,-9.32637383385714,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.29048849430996376}",30,0,-41.365402391810775,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.7, 'e': 0.2875836093668641}",20,14,0.2611838805899276,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.28470777327319546}",30,8,-3.935233739889645,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.2818606955404635}",25,0,-35.80791067209815,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
127,False,"{'a': 0.7, 'e': 0.27904208858505886}",20,8,11.51835816158972,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.2762516676992083}",30,1,-4.220675837733064,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.2734891510222162}",20,8,-94.44057416016345,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
130,False,"{'a': 0.7, 'e': 0.27075425951199406}",30,13,-3.2525713005479107,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.2680467169168741}",30,0,-83.44765183828258,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
132,False,"{'a': 0.7, 'e': 0.26536624974770534}",20,6,10.908463848279052,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502283}",25,3,-5.504785171450609,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.26008546137772603}",20,13,12.969375366121339,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.25748460676394874}",20,3,-25.47557156182762,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963093}",25,0,-19.596594735946635,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 0.7, 'e': 0.2523606630893462}",20,0,-36.701961394389585,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.7, 'e': 0.2498370564584527}",25,8,16.56075523125427,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24733868589386818}",20,5,-60.57867426903505,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
140,False,"{'a': 0.7, 'e': 0.24486529903492948}",30,0,-13.006864760379363,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.2424166460445802}",25,7,-0.5790036268528791,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.2399924795841344}",20,3,26.740756388498045,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",25,8,13.917611906570475,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.23521662924041012}",30,15,3.5615258946676436,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",25,12,-16.50244408714279,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",25,14,-42.13218699795031,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",20,14,8.54356827620969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",20,0,-14.943053678253726,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.7, 'e': 0.2236886739786474}",20,0,14.853335457575735,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.7, 'e': 0.22145178723886091}",30,10,26.868059937900558,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.2192372693664723}",20,6,-17.11262626152847,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.7, 'e': 0.21704489667280757}",30,18,22.277401572351533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.2148744477060795}",20,5,-9.502574382878311,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.2127257032290187}",20,3,-33.79838026506968,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21059844619672852}",20,0,-111.81069978512785,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 2}",0
156,False,"{'a': 0.7, 'e': 0.20849246173476124}",20,0,-38.698212331653544,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
